,Name,_runtime,_step,_timestamp,epoch,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,_wandb,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
57,sweet-sweep-940,1333.340691804886,21116,1727672554.7591038,54.0,0.84375,0.42976927757263184,21060,0.8893429636955261,0.31475386023521423,{'runtime': 1332},0.7389000058174133,0.9693039059638976,False,0.9,0.999,rot180,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
58,pretty-sweep-939,664.8560452461243,12123,1727672012.0221322,31.0,0.78125,0.7247768044471741,12090,0.7966546416282654,0.5820042490959167,{'runtime': 663},0.7239999771118164,0.8321691155433655,False,0.9,0.999,rot180,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
59,ancient-sweep-938,767.6674461364746,12513,1727671567.3608532,32.0,0.6953125,0.7754114866256714,12480,0.7227363586425781,0.7988994717597961,{'runtime': 766},0.6699000000953674,0.954714059829712,False,0.9,0.999,rot180,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
60,balmy-sweep-937,208.25545001029968,3912,1727671332.9925451,10.0,0.625,1.1091856956481934,3900,0.5779446959495544,1.2124748229980469,{'runtime': 207},0.5638999938964844,1.2524718046188354,False,0.9,0.999,rot180,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
61,rare-sweep-936,314.08424949645996,5084,1727670784.4259665,13.0,0.53125,1.2917457818984983,5070,0.559334933757782,1.2300647497177124,{'runtime': 312},0.5455999970436096,1.2746909856796265,False,0.9,0.999,rot180,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
62,eager-sweep-935,659.0931513309479,9777,1727671206.8428314,25.0,0.7890625,0.6315696239471436,9750,0.8177884817123413,0.5231729745864868,{'runtime': 657},0.761900007724762,0.7145212292671204,False,0.9,0.999,rot180_and_or_transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
63,graceful-sweep-934,488.42951941490173,8604,1727671109.2807024,22.0,0.7421875,0.7594994306564331,8580,0.7591546177864075,0.6826601624488831,{'runtime': 487},0.7161999940872192,0.8248128890991211,False,0.9,0.999,rot180_and_or_transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
64,swift-sweep-933,365.2533376216888,5475,1727670453.8256867,14.0,0.6484375,0.8736135363578796,5460,0.6646233797073364,0.9487560391426086,{'runtime': 364},0.6456000208854675,1.0178396701812744,False,0.9,0.999,rot180_and_or_transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
65,vivid-sweep-932,340.6818163394928,6258,1727670607.2418344,16.0,0.6484375,1.0691425800323486,6240,0.6380007863044739,1.0270298719406128,{'runtime': 338},0.6136000156402588,1.09596848487854,False,0.9,0.999,rot180_and_or_transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
66,earthy-sweep-931,358.97622656822205,5475,1727670071.700003,14.0,0.5078125,1.4129440784454346,5460,0.5727163553237915,1.208654284477234,{'runtime': 357},0.5573999881744385,1.2288742065429688,False,0.9,0.999,rot180_and_or_transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
67,stilted-sweep-930,792.7954988479614,12514,1727670530.271004,32.0,0.8828125,0.4005842804908752,12480,0.8006811141967773,0.562756359577179,{'runtime': 791},0.7588000297546387,0.7082904577255249,False,0.9,0.999,transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
68,swift-sweep-929,623.4354569911957,11732,1727670249.573793,30.0,0.8046875,0.5280811190605164,11700,0.7629006505012512,0.6680453419685364,{'runtime': 622},0.7242000102996826,0.7889509797096252,False,0.9,0.999,transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
69,eager-sweep-928,616.453738451004,10168,1727669722.2852054,26.0,0.7265625,0.7643938660621643,10140,0.6863180994987488,0.904366135597229,{'runtime': 615},0.671999990940094,0.9559886455535888,False,0.9,0.999,transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
70,fluent-sweep-927,745.1899333000183,12513,1727669693.9421532,32.0,0.6171875,1.0976225137710571,12480,0.6771634817123413,0.9120028018951416,{'runtime': 743},0.6603999733924866,0.9684359431266784,False,0.9,0.999,transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
