,Name,val_loss,val_accuracy,test_accuracy,total_num_knots,_runtime,total_smoothness,trainer/global_step,expected_knot_entropy,expected_gradient_norm,expected_knot_uniformity,_step,_timestamp,epoch,test_loss,total_max_knots_countable,_wandb,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,plot_knots,log_results,min_step_eps,weight_decay,hidden_layers,learning_rate,evaluate_batch_size,random_init_weights,hidden_group_channels,sanity_check_equivariance,ctrl_points_per_interpolation
46,divine-sweep-2954,0.7108104228973389,0.5266666412353516,0.47999998927116394,297,2.138002634048462,1.6439843364894386,0,2.296964130382957,0.08798017352819443,0.0035190270893191316,2,1715985488.3073547,0,0.693278968334198,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
47,valiant-sweep-2953,0.009061510674655436,0.9968571662902832,0.9950000047683716,290,2.5893054008483887,8070.340670645237,0,2.1142300866476353,10.00179386138916,0.005994920008097441,2,1715985472.7037585,0,0.01590215228497982,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
48,dauntless-sweep-2952,0.09916748106479643,1.0,0.9900000095367432,296,2.274782419204712,2053.201696395874,0,2.233401163664639,3.741495370864868,0.003979834228122847,2,1715985455.981985,0,0.10323558002710342,19922944.0,{'runtime': 0},True,0.9,0.999,flipH,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
49,sage-sweep-2951,0.01325999852269888,0.9974285960197448,0.9950000047683716,271,2.356785774230957,12239.29432195425,0,2.278317493557992,8.855405807495117,0.00793333546596197,2,1715985440.0638468,0,0.01738765835762024,19922944.0,{'runtime': 1},True,0.9,0.999,flipH,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
50,dashing-sweep-2950,0.05729029327630997,0.996666669845581,1.0,959,2.1834959983825684,1020.9521628386864,0,2.1900649252075297,4.232865333557129,0.002632586067112952,2,1715985418.791831,0,0.051308780908584595,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
51,polar-sweep-2949,0.008111442439258099,0.9975714087486268,0.9955000281333924,932,2.4239766597747803,4962.841302871704,0,2.121946889047842,11.252361297607422,0.0024207029488623215,2,1715985403.0051427,0,0.011093773879110811,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
52,pleasant-sweep-2948,0.027744917199015617,1.0,0.9900000095367432,629,2.235367774963379,2663.053265810013,0,2.121095526415332,5.005343914031982,0.0033542155496623597,2,1715985386.7606528,0,0.03914903476834297,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
53,autumn-sweep-2947,0.010235817171633244,0.9968571662902832,0.9975000023841858,746,2.4455082416534424,4752.965899944305,0,2.1017378694250555,9.795988082885742,0.0029363441114999625,2,1715985370.9559145,0,0.00872187502682209,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,32,False,1000
54,olive-sweep-2946,0.06004507839679718,1.0,1.0,508,2.2279367446899414,1260.4549210071564,0,2.1253296027972013,3.8282580375671382,0.0033165967959194777,2,1715985354.6942637,0,0.0704394206404686,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
55,noble-sweep-2945,0.011597078293561935,0.99571430683136,0.996999979019165,533,2.461110830307007,6373.735625386238,0,2.119432061723125,10.844837188720703,0.003640310551118244,2,1715985333.5542247,0,0.008810804225504398,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,24,False,1000
56,dainty-sweep-2944,0.05076342448592186,1.0,1.0,355,2.20407772064209,2317.0055379867554,0,2.212730995453555,4.0948262214660645,0.0019729385151993806,2,1715985317.2566538,0,0.04838093742728233,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
57,lively-sweep-2943,0.012385180220007896,0.99528568983078,0.9965000152587892,359,2.3892486095428467,4302.644714355469,0,2.1527163890554304,8.363517761230469,0.0024063356282982224,2,1715985301.3407176,0,0.01131246332079172,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,16,False,1000
58,fine-sweep-2942,0.07811591029167175,1.0,0.9900000095367432,268,2.193910837173462,921.2143499702216,0,2.334823739682657,3.5496838092803955,0.0032114853064682857,2,1715985279.84051,0,0.094329833984375,19922944.0,{'runtime': 0},True,0.9,0.999,trivial,50,trivial,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
59,playful-sweep-2941,0.011161248199641705,0.9964285492897034,0.9944999814033508,232,2.364884853363037,6802.01668548584,0,2.1600397698571387,9.4676513671875,0.0053451680362024455,2,1715985263.9893308,0,0.011788923293352129,19922944.0,{'runtime': 1},True,0.9,0.999,trivial,50,trivial,moons,0,3,10000,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,12,False,1000
60,zany-sweep-2940,0.02816824242472649,0.9942857027053832,0.9950000047683716,812,2.3184256553649902,3123.53395485878,0,2.037143246192775,6.575166702270508,0.006798167372496954,2,1715985245.3032317,0,0.029617853462696075,19922944.0,{'runtime': 1},True,0.9,0.999,flipH_and_or_flipW,49,flipH_and_or_flipW,moons,0,3,500,True,100,-1,False,True,1e-06,0,3,0.001,1024,False,44,False,1000
